seed;vertices;aristas;n;k;tiempo BF;ops BF;tiempo DC;ops DC;tiempo BT;ops BT
215;[1...7];[(3 : 4), (4 : 5), (2 : 5)];3;0;0.000438;9;0.000301;8;0.000149;1
216;[1...7];[(1 : 7), (6 : 7), (3 : 7), (2 : 4), (2 : 5), (1 : 4), (4 : 5), (2 : 6), (3 : 6), (1 : 6), (4 : 7)];11;5;0.002532;14;0.001218;177;0.000657;19
217;[1...7];[(1 : 7), (3 : 7), (2 : 6), (1 : 4), (5 : 6), (2 : 7), (1 : 6), (4 : 7), (1 : 5), (6 : 7), (5 : 7), (2 : 3), (4 : 6)];13;1;0.000175;9;0.000258;8;0.000173;1
218;[1...7];[(1 : 3), (3 : 4), (1 : 6), (2 : 7), (1 : 5), (3 : 6), (2 : 4), (2 : 6), (4 : 5)];9;5;0.000808;14;0.000622;159;0.000443;19
219;[1...7];[(1 : 6), (4 : 5), (1 : 7), (2 : 4), (2 : 6), (4 : 7), (3 : 6), (1 : 2), (1 : 3)];9;4;0.000346;13;0.000607;141;0.000327;17
220;[1...7];[(4 : 7), (3 : 4), (3 : 6), (6 : 7), (1 : 4), (1 : 5), (1 : 2), (2 : 4), (3 : 5), (5 : 6), (2 : 3), (1 : 6), (4 : 6), (4 : 5), (2 : 6), (5 : 7), (2 : 7)];17;1;0.000215;9;0.000313;8;0.000267;1
221;[1...7];[(2 : 6), (4 : 7), (3 : 5), (2 : 7), (5 : 6), (3 : 4), (4 : 6), (1 : 5), (2 : 5), (1 : 4), (1 : 2), (4 : 5), (5 : 7), (3 : 6), (3 : 7), (2 : 4), (2 : 3), (1 : 6), (1 : 3)];19;18;0.001364;711;0.004587;1382;0.005937;1771
222;[1...7];[(3 : 5), (1 : 7), (5 : 6), (2 : 7), (1 : 6), (1 : 4), (2 : 6), (3 : 7), (1 : 2), (2 : 4), (1 : 5), (5 : 7), (3 : 4), (4 : 6), (3 : 6)];15;5;0.000335;14;0.000709;502;0.000319;19
223;[1...7];[(3 : 6), (1 : 2), (6 : 7), (2 : 6), (3 : 7), (3 : 4), (4 : 7), (4 : 6), (1 : 6), (1 : 5), (1 : 7), (3 : 5), (2 : 5), (1 : 3), (4 : 5)];15;8;0.001558;1428;0.001006;982;0.000401;31
224;[1...7];[(2 : 5), (3 : 6)];2;2;0.000356;9;0.000234;8;0.000279;1
225;[1...7];[(1 : 4), (2 : 5), (2 : 7), (5 : 7)];4;0;0.000204;9;0.000194;8;0.000240;1
226;[1...7];[(1 : 2)];1;0;0.000234;9;0.000199;8;0.000189;1
227;[1...7];[(1 : 2), (3 : 6), (2 : 6)];3;2;0.000231;9;0.000182;8;0.000198;1
228;[1...7];[(1 : 3), (4 : 6), (2 : 7), (1 : 7), (4 : 7), (5 : 6), (2 : 4), (3 : 6)];8;0;0.000309;9;0.000200;8;0.000176;1
229;[1...7];[(3 : 6), (1 : 5), (3 : 5), (3 : 7), (1 : 3), (5 : 6), (2 : 5), (3 : 4), (2 : 7), (4 : 5)];10;1;0.000225;9;0.001217;8;0.000280;1
230;[1...7];[(2 : 4), (2 : 5), (3 : 7), (1 : 4), (3 : 6), (2 : 7)];6;1;0.000235;9;0.000245;8;0.000217;1
231;[1...7];[(1 : 4), (3 : 6), (2 : 3), (1 : 7), (2 : 6), (1 : 5)];6;6;0.001305;21;0.000367;123;0.000382;85
232;[1...7];[(3 : 6), (4 : 7), (5 : 6), (3 : 4), (1 : 6), (3 : 5), (3 : 7), (1 : 5), (2 : 3), (2 : 6), (2 : 5), (1 : 3), (2 : 4), (1 : 7)];14;9;0.004074;5927;0.002102;3266;0.000542;99
233;[1...7];[(1 : 3), (4 : 5), (5 : 7), (4 : 7), (3 : 7), (3 : 6), (4 : 6), (3 : 5), (2 : 6), (1 : 4), (6 : 7), (2 : 7), (1 : 6), (2 : 4), (3 : 4), (1 : 5)];16;0;0.000354;9;0.000196;8;0.000203;1
234;[1...7];[(4 : 7), (6 : 7), (1 : 6), (3 : 4), (4 : 5), (1 : 2), (1 : 5), (1 : 3), (4 : 6), (1 : 7), (3 : 7), (3 : 6)];12;10;0.001372;1394;0.003260;4207;0.004235;1845
